title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Szmuglerzy / Smugglers / Milsu (2023),"Film akcji kryminalny osadzony w latach 70. w małej, spokojnej wiosce nad morzem, gdzie dwie kobiety niespodziewanie wciągają się w niebezpieczny przemyt.",Film,"Akcja, Kryminał",2023,129,6.4,96,,https://cda-hd.cc/64117/szmuglerzy-smugglers-milsu-2023/,https://image.tmdb.org/t/p/w185/ayLXqPZCu3uaLLhXiqvw5NBb7Lw.jpg
"Chłopiec, kret, lis i koń / The Boy, the Mole, the Fox and the Horse (2022)","Obejrzyj tworzenie się nietypowej więzi pomiędzy czwórką przyjaciół, którzy odkrywają znaczenie dobroci, odwagi i nadziei.",Film,"Animacja, Dramat, Familijny, Fantasy, Komedia, Przygodowy",2022,32,7.9,98,,https://cda-hd.cc/63256/chlopiec-kret-lis-i-kon-the-boy-the-mole-the-fox-and-the-horse-2022/,https://image.tmdb.org/t/p/w185/6yuC3zGT8TLykQuAmisGVMG6Rmz.jpg
Wyznawca 2 / Believer 2 / Dokjeon 2 (2023),"Zdeterminowany detektyw nie ustaje w poszukiwaniu prawdy o największym gangu narkotykowym w Azji i jego nieuchwytnym szefie, z którym ma rachunki do wyrównania.",Film,"Akcja, Kryminał, Thriller",2023,114,8.5,99,,https://cda-hd.cc/63148/wyznawca-2-believer-2-dokjeon-2-2023/,https://image.tmdb.org/t/p/w185/r6cXwZ4znjaz144TvVWIdTN8C9L.jpg
Jedź dziesiątką / Take the 10 (2017),"Dwóch kumpli znudzonych pracą na kasie przeżywa szereg niesamowitych przygód, by wybrać się na najlepszy koncert hip-hopowy ich życia.",Film,Komedia,2017,,6.8,8,USA,https://cda-hd.cc/10933/jedz-dziesiatka-take-the-10-2017-online/,https://image.tmdb.org/t/p/w185/jI5XSud40IeXOxIZvHZwtUND8HV.jpg
Zaproszenie na morderstwo / A Deadly Invitation (2023),Miłośniczka historii kryminalnych zostaje wplątana w sprawę morderstwa siostry i musi wskazać sprawcę spośród zebranych w willi gości z wyższych sfer.,Film,"Komedia, Tajemnica, Thriller",2023,92,5.5,81,,https://cda-hd.cc/62634/zaproszenie-na-morderstwo-a-deadly-invitation-2023/,https://image.tmdb.org/t/p/w185/ykDai0f894WQ9ayoNQeo67Wp6qk.jpg
Serce w chmurach / Love at First Sight (2023),"Hadley i Oliver zakochują się w sobie podczas lotu z Nowego Jorku do Londynu, ale na lotnisku tracą się z oczu. Czy uda im się znów spotkać?",Film,"Dramat, Romans",2023,90,7.0,94,,https://cda-hd.cc/62425/serce-w-chmurach-love-at-first-sight-2023/,https://image.tmdb.org/t/p/w185/vCMGlarDrcmhclBmnYoH7JUCDuA.jpg
Biblia / The Bible: In the Beginning… (1966),"Ten zrealizowany z ogromnym rozmachem film ukazuje pradzieje ludzkości poczynając od kosmicznego chaosu poprzez dzieło stworzenia, od stanu szczęścia poprzez upadek pierwszych rodziców, zbrodnię Kaina, historię Noego (John Huston), Potop i budowę Wieży Babel, aż po historię patriarchy Abrahama.",Film,"Dramat, Familijny",1966,,6.3,91,,https://cda-hd.cc/62185/biblia-the-bible-in-the-beginning-1966/,https://image.tmdb.org/t/p/w185/8Vqf5YXCBj2mE1TX4pegWAad4Gw.jpg
Bo się boi / Beau Is Afraid (2023),"Znerwicowany Beau otrzymuje wiadomość, która zmusza go do wyruszenia w epicką podróż do rodzinnego domu.",Film,"Dramat, Horror, Komedia",2023,,6.5,93,"USA, UK, Finland, Canada",https://cda-hd.cc/62005/bo-sie-boi-beau-is-afraid-2023/,https://image.tmdb.org/t/p/w185/ptEb9AuwWQMVp6zcAQSf3WIsD9z.jpg
Moda na miłość / The Perfect Find (2023),"Redaktorka magazynu o modzie wraca do pracy i odkrywa, że czarujący facet, z którym całowała się na imprezie, jest jej nowym współpracownikiem oraz synem jej szefa.",Film,"Dramat, Komedia, Romans",2023,99,5.3,90,,https://cda-hd.cc/61442/moda-na-milosc-the-perfect-find-2023/,https://image.tmdb.org/t/p/w185/fZXturIugHYCl7T6oLeMj1AWm7p.jpg
The Cursed (2021),"Pod koniec XIX wieku mężczyzna przybywa do odległej wioski, aby zbadać atak dzikiego zwierzęcia, ale odkrywa znacznie głębszą i złowrogą siłę, która terroryzuje dwór i jego mieszkańców.",Film,"Fantasy, Horror, Tajemnica",2021,,6.3,12281,"UK, France, USA",https://cda-hd.cc/60142/the-cursed-2021/,https://image.tmdb.org/t/p/w185/rYobaxr1JHhmOSszqQh5Aj4Viiu.jpg
Wendell i Wild / Wendell & Wild (2022),"Dwa podstępne demony zawierają pakt z nastoletnią fanką punk rocka, żeby opuścić zaświaty i spełniać marzenia w świecie żywych.",Film,"Animacja, Familijny, Fantasy, Komedia, Przygodowy",2022,,6.4,9125,,https://cda-hd.cc/59452/wendell-i-wild-wendell-wild-2022-online/,https://image.tmdb.org/t/p/w185/5dsX6UAHqkQz1kiV8bs8SvjyVNa.jpg
Agent Game (2022),Agent CIA zostaje wrobiony w zabójstwo. Musi uciekać przed ścigającym go zespołem pod wodzą bezwzględnej podwójnej agentki.,Film,"Akcja, Thriller",2022,90,3.9,1682,,https://cda-hd.cc/58259/agent-game-2022-online/,https://image.tmdb.org/t/p/w185/vWUaDeA0MgL750xFaUc3bzXgwtK.jpg
Fullmetal Alchemist the Revenge of Scar (2022),W tej kontynuacji pierwszego filmu bracia Elric spotykają najtrudniejszego z dotychczasowych przeciwników – seryjnego mordercę z wielką blizną na czole.,Film,"Akcja, Fantasy, Przygodowy",2022,,5.3,353,Japan,https://cda-hd.cc/57394/fullmetal-alchemist-the-revenge-of-scar-2022/,https://image.tmdb.org/t/p/w185/yTSqYT12q5A9WT0ju9pyHfuiIWi.jpg
Batman / The Batman (2022),Batman i James Gordon stawiają czoła nieobliczalnemu Człowiekowi-Zagadce w skorumpowanym Gotham City.,Film,"Akcja, Dramat, Kryminał, Tajemnica",2022,176,7.7,92,,https://cda-hd.cc/56131/batman-the-batman-2022-online/,https://image.tmdb.org/t/p/w185/lGzesThPVrXijebOF2TQN0z92gZ.jpg
Ju-on: The Final Curse / Ju-on: Za fainaru (2015),,Film,Horror,2015,90,4.4,866,Japan,https://cda-hd.cc/55849/ju-on-the-final-curse-ju-on-za-fainaru-2015-online/,https://image.tmdb.org/t/p/w185/rydIKTsG6bRWOBaRE44QU1rQBRi.jpg
Na cztery ręce / Four Hands / Die Vierhändige (2017),"W odizolowanym domku na wzgórzu dwie dziewczynki grają razem na pianinie. Kiedy ich matka wbiega przerażona do pokoju błagając napastnika o życie, siostry chowają się pod sofą. Stamtąd starsza z córek widzi krwawe, brutalne morderstwo, zasłaniając młodszej uszy i oczy, szepcząc, że ją ochroni.",Film,"Dramat, Thriller",2017,,6.1,582,Germany,https://cda-hd.cc/31172/na-cztery-rece-four-hands-2017-online/,https://image.tmdb.org/t/p/w185/royswZqbLgTP45ReP8B5jFROd0f.jpg
Kierowca / Wheelman (2017),"Po nie do końca udanej próbie napadu kierowca ucieka z łupem. Nagle otrzymuje szokujące instrukcje od nieznanej osoby — i będzie musiał pokazać, na co naprawdę go stać.",Film,"Akcja, Thriller",2017,,6.6,571,USA,https://cda-hd.cc/21299/kierowca-wheelman-2017-online/,https://image.tmdb.org/t/p/w185/yeHRsKOlNDsbEIALS1ve6S42Nl6.jpg
Zgubiłam Alberta / I Lost Albert Original / J’ai perdu Albert (2018),"Chloe (Julie Ferrier) może pochwalić się błyskotliwą karierą mediatorki zatrudnianej w ważnych firmach. Z jej usług korzystają nawet politycy. Te liczne sukcesy nie wzięły się jednak znikąd. Od czasów dzieciństwa w jej mózgu mieszka sam Albert Einstein (Etienne Draber), który kieruje jej działaniami. Niestety, naukowiec ma już dość współpracy z Chloe. Przemęczona kobieta przestała dawać sobie radę z jego obecnością. W związku z tym Einstein planuje przeprowadzkę. Zamierza przenieść się do umysłu Zaca (Stéphane Plaza). Mężczyzna ten jest pszczelarzem i kelnerem. Zmaga się również z depresją. Aby zamiana doszła do skutku, całą trójkę czekają dwie niesamowite, halucynogenne doby.",Film,Komedia,2018,,4.4,139,"France, Belgium",https://cda-hd.cc/53795/zgubilam-alberta-i-lost-albert-original-jai-perdu-albert-2018-online/,https://image.tmdb.org/t/p/w185/kfXrPxdnrR4866tbz6EJlIdJym3.jpg
Przez miłość / Out of Love (2016),"Utalentowany kucharz, Rosjanin Nikolai (Daniil Vorobyov) poznaje Varyę (Naomi Velissariou), Greczynkę o rosyjskim imieniu. Para zakochuje się w sobie od pierwszego wejrzenia. Szybko rodzi się między nimi gorące uczucie, a zakochani wydają się być sobie przeznaczeni. Z czasem jednak przekonują się, że miłość ma różne odcienie i wiele twarzy. Obraz nominowanej do Europejskiej Nagrody Filmowej Palomy Aguilery Valdebenito jest pełną emocji opowieścią o dwojgu zakochanych, pokazującą rozwój ich burzliwej relacji, blaski i cienie ich namiętnego uczucia.",Film,Dramat,2015,,6.3,220,Netherlands,https://cda-hd.cc/9053/przez-milosc-out-of-love-2016-online/,"https://m.media-amazon.com/images/M/MV5BNTBiNzk5OGItYTJmYy00NjVhLTlmNGQtNDQ3NmZhZDQwNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk4MDMwMDQ@._V1_UY268_CR4,0,182,268_AL_.jpg"
Psi Patrol: Odrzutowce na ratunek / Paw Patrol: Jet to the Rescue (2020),"W tym nowym filmie super szczeniaki muszą bronić Barkingburga przed księciem Flappington, który zdobył moc potężnego klejnotu lewitacji.",Film,"Animacja, Familijny",2020,56,6.4,46,,https://cda-hd.cc/52934/psi-patrol-odrzutowce-na-ratunek-paw-patrol-jet-to-the-rescue-2020/,https://image.tmdb.org/t/p/w185/qHcn3PbjVHxBweDZxWpYH3JfugS.jpg
Na skraju świata / Until the Edge of the World / Bis die Welt einen Rand bekommt (2019),"Pięciolatka nie może zrozumieć, co dzieje się z jej ojcem. Matka tłumaczy jej wszystko, mówiąc: „jest z nami, ale jednocześnie jest gdzieś daleko”. Dziewczynka, uciekając w świat fantazji, wyobraża sobie, że ojciec jest na Księżycu.",Film,Dramat,2019,,5.4,12,Germany,https://cda-hd.cc/52747/na-skraju-swiata-until-the-edge-of-the-world-bis-die-welt-einen-rand-bekommt-2019-online/,https://image.tmdb.org/t/p/w185/xjvVzlkOZLs0XJP3vuznDrTRsFO.jpg
Spirala / Spiral (2019),"Malik (Jeffrey Bowyer-Chapman) i Aaronie (Ari Cohen) zaczynają otrzymywać homofobiczne groźby, gdy przeprowadzają się do małego amerykańskiego miasteczka, aby wychować tam swoją nastoletnią córkę. W miarę jak niebezpieczeństwo staje się coraz bardziej prawdziwe, Malik zaczyna podejrzewać, że zagrażają im jeszcze mroczniejsze siły.",Film,"Dramat, Horror, Tajemnica, Thriller",2020,,5.6,2271,,https://cda-hd.cc/51781/spirala-spiral-2019-online/,https://image.tmdb.org/t/p/w185/mkIek8qY0tc8YxSgUs83bkWFihD.jpg
Poza prawem / Outlawed (2018),"Po tragicznym finale jednej z misji, Jake nie może dojść do siebie. Kiedy jednak była dziewczyna chce rozwiązać zagadkę śmierci ojca, były komandos postanawia jej pomóc.",Film,Akcja,2018,,4.9,1053,,https://cda-hd.cc/50876/poza-prawem-outlawed-2018-online/,https://image.tmdb.org/t/p/w185/gOgKZIk9S1MreMC7AjyFhcrK4Oz.jpg
Miłość na klik / Ishq Click (2016),"Aditya, młody fotograf zaprasza Sophie do Bombaju. Proponuje jej karierę modelki. Dziewczyna osiąga popularność i zakochuje się w artyście, ale ten łamie jej serce, żeniąc się z Irą.",Film,"Dramat, Romans",2016,,4.4,83,N/A,https://cda-hd.cc/9108/ishq-click-2016-online/,"https://m.media-amazon.com/images/M/MV5BYmEwMGMzNjctNjcwZi00ZGY4LTgwNDYtMjVkMjEzNDA5OGRkXkEyXkFqcGdeQXVyNjc5MjUyNzQ@._V1_UY268_CR1,0,182,268_AL_.jpg"
