title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Obcy: Romulus / Alien: Romulus (2024),Podczas przeszukiwania głębin opuszczonej stacji kosmicznej grupa młodych kolonizatorów kosmosu staje twarzą w twarz z najbardziej przerażającą formą życia we wszechświecie.,Film,"Horror, Sci-Fi, Thriller",2024,119,7.4,101,"United Kingdom, United States, Hungary, Australia, New ZealandCanada",https://cda-hd.cc/65582/obcy-romulus-alien-romulus-2024/,https://image.tmdb.org/t/p/w185/6FsZvai0QZDdtOf2ideSRUZZyg.jpg
Zabierz mnie na Księżyc / Fly Me to the Moon (2024),"Ekspertka marketingu i skrupulatny dyrektor ds. startów podejmują się zadania, którego tłem jest epokowe lądowanie Apollo 11 na Księżycu.",Film,"Komedia, Romans",2024,132,6.6,102,"United States, United Kingdom",https://cda-hd.cc/65539/zabierz-mnie-na-ksiezyc-fly-me-to-the-moon-2024/,https://image.tmdb.org/t/p/w185/gh2VbtGAyUgy9UuNsNEB70FBagI.jpg
Dotyk śmierci / Boneyard (2024),"Po tym, jak szef policji Carter odkrywa szczątki jedenastu kobiet, agent specjalny FBI Petrovick zostaje zrekrutowany, aby określić seryjnego mordercę odpowiedzialnego za niesławne morderstwa na cmentarzu. Gdy policja, agencja narkotykowa i FBI łączą siły, splątana sieć intryg zamienia wszystkich w podejrzanych.",Film,"Akcja, Dramat, Kryminał, Tajemnica, Thriller",2024,96,4.2,81,USA,https://cda-hd.cc/65534/dotyk-smierci-boneyard-2024/,https://image.tmdb.org/t/p/w185/xkNK36hQv8SWiwiQoE7naRfP0zL.jpg
Rozpuszczeni i bezkarni / Untamed Royals / Delincuentes (2024),"Grupa bogatych nastolatków popełnia przestępstwa, od drobnych wykroczeń po niebezpieczne napady. Ich występki mają poważne konsekwencje — jednak nie dla nich.",Film,"Dramat, Kryminał",2024,99,4.7,81,USA,https://cda-hd.cc/65530/rozpuszczeni-i-bezkarni-untamed-royals-delincuentes-2024/,https://image.tmdb.org/t/p/w185/xkNK36hQv8SWiwiQoE7naRfP0zL.jpg
Jedno życie / One Life (2023),W roku 1939 Nicolas Winton ocalił setki dzieci przed śmiercią. 40 lat później jego historia poruszyła świat.,Film,"Biograficzny, Dramat, Historyczny",2023,109,7.6,87,"United Kingdom, Czech Republic, Australia, United States",https://cda-hd.cc/65524/jedno-zycie-one-life-2023/,https://image.tmdb.org/t/p/w185/yvnIWt2j8VnDgwKJE2VMiFMa2Qo.jpg
Regentka / Firebrand (2023),"Historia Katarzyny Parr, ostatniej żony króla Henryka VIII, pełniącej funkcję regentki podczas jego nieobecności w kraju.",Film,"Dramat, Historyczny",2023,121,6.3,92,"United Kingdom, United States",https://cda-hd.cc/65522/regentka-firebrand-2023/,https://image.tmdb.org/t/p/w185/kXAc1LaxL64udWr9SOAHQwOBEG0.jpg
Mur graniczny / The Wall (2023),"Strażniczka Jessica Comley pełni służbę na granicy między Arizoną a Meksykiem. Gdy pewnego dnia z jej broni służbowej ginie niewinna osoba, Jessica stara się zatuszować sprawę, ale świadkami postrzału byli mieszkańcy lokalnej społeczności migrantów.",Film,Dramat,2023,96,5.4,100,"Belgium, Luxembourg, Denmark, United States",https://cda-hd.cc/65520/mur-graniczny-the-wall-2023/,https://image.tmdb.org/t/p/w185/AnWeH2fag88wFycnI7RI4i9GnVz.jpg
Yolo / Re La Gun Tang (2024),"Le Ying po skończeniu studiów i krótkim okresie pracy postanowiła wycofać się ze społecznego życia. Teraz spędza całe dnie w domu, nie robiąc nic szczególnego. W końcu jednak decyduje się na zmianę. Przełomem staje się dla niej spotkanie z pewnym trenerem boksu… Sportowy komediodramat będący wielkim przebojem chińskiego kina.",Film,"Akcja, Dramat, Komedia, Sportowy",2024,129,6.9,101,China,https://cda-hd.cc/65518/yolo-re-la-gun-tang-2024/,https://image.tmdb.org/t/p/w185/fI5BIp48yERyYhu7O6XlDT4puSZ.jpg
Gru i Minionki: Pod przykrywką / Despicable Me 4 (2024),"Gru, ulubiony super-złoczyńca świata, powraca w ekscytującej, nowej odsłonie komedii animowanej „Gru i Minionki: Pod przykrywką”. Gru i Lucy oraz ich córeczki: – Margo , Edith i Agnes powitają nowego członka rodziny Gru juniora. Gru będzie musiał zmierzyć się z nowym nemezis w postaci Maxime’a Le Mala i jego femme fatale, Valentiny. Pełen nieprzerwanej akcji i charakterystycznego, przewrotnego humoru film „Gru i Minionki: Pod Przykrywką” został wyreżyserowany przez nominowanego do Oscara® Chrisa Renauda i wyprodukowany przez Illumination.",Film,"Animacja, Familijny, Komedia, Kryminał, Przygodowy, Sci-Fi",2024,94,6.4,99,USA,https://cda-hd.cc/65516/gru-i-minionki-pod-przykrywka-despicable-me-4-2024/,https://image.tmdb.org/t/p/w185/91MTLexAI0am1x0yuvZfIIAkDzr.jpg
Ktoś jak ty / Someone Like You (2024),"Oparta na popularnej powieści poczytnej autorki Karen Kingsbury, „Someone Like You” to poruszająca i pouczająca historia miłosna. Dla młodego architekta Dawsona Gage’a utrata najlepszego przyjaciela Londona Quinna to szokująca wiadomość. Pełen żalu Dawson czuje, że musi podjąć się niemożliwego zadania – odnalezienia nieznanej siostry bliźniaczki Londona, których rozdzielono jeszcze jako zarodki. Jednakże Dawson nigdy nie planował zakochać się.",Film,Romans,2024,118,6.3,101,USA,https://cda-hd.cc/65509/ktos-jak-ty-someone-like-you-2024/,https://image.tmdb.org/t/p/w185/zsvD0BjEQIIoh2PpE5X7VXmSrQO.jpg
Bezdroża / Sideways (2004),"Jack niedługo bierze ślub, więc Miles zabiera go w podróż, podczas której wypiją litry wina i uwikłają się w skomplikowane relacje z dwiema kobietami.",Film,"Dramat, Komedia, Romans",2004,127,7.5,83,USA,https://cda-hd.cc/65504/bezdroza-sideways-2004/,https://image.tmdb.org/t/p/w185/pX594IzSOEdGhKpaohNUvM6iNPe.jpg
Tokunbo / Tòkunbò̩ (2024),"Były przemytnik samochodów ma trzy godziny, aby dostarczyć porywaczowi córkę prominentnej polityczki. Jeśli tego nie robi, jego rodzina poniesie konsekwencje.",Film,Dramat,2024,113,3.9,103,Nigeria,https://cda-hd.cc/65429/tokunbo-tokunbo%cc%a9-2024/,https://image.tmdb.org/t/p/w185/yV7YWPKH2OWboyAlkZ46gp75Y4j.jpg
Słodki przekręt / Marmalade (2024),"Oto historia osadzonego w więzieniu Barona (Keery), który dogaduje się z kolegą z celi Otisem (Hodge), mężczyzną o długiej historii ucieczek. Otis opracowuje plan, zaś Baron wspomina, jak poznał Marmoladę (Morrone), miłość swojego życia, i jak narodził się ich plan w stylu Bonnie i Clyde’a, aby obrabować bank, sfinansować leczenie chorej matki i zapewnić obojgu życie, o którym zawsze marzyli.",Film,"Dramat, Komedia, Kryminał, Romans, Thriller",2024,99,6.2,91,UK,https://cda-hd.cc/65422/slodki-przekret-marmalade-2024/,https://image.tmdb.org/t/p/w185/yt66TPbmJn8E4LepeLhBO5V1AED.jpg
Oko / The Eye (2008),Po operacji przeszczepu rogówki Sydney zaczyna widzieć dziwne rzeczy.,Film,"Horror, Tajemnica",2008,98,5.4,101,"Canada, United States",https://cda-hd.cc/65419/oko-the-eye-2008/,https://image.tmdb.org/t/p/w185/CBgEey9aHaIiGUAmGzw0LIz93i.jpg
Horyzont. Rozdział 1 / Horizon: An American Saga – Chapter 1 (2024),"Tysiące osadników przemierzają bezkresne terytoria Stanów Zjednoczonych. Na nowej ziemi obiecanej krzyżują się losy szlachetnych i podłych, silnych i słabych, odważnych i tchórzy.",Film,"Dramat, Western",2024,181,6.8,96,USA,https://cda-hd.cc/65416/horyzont-rozdzial-1-horizon-an-american-saga-chapter-1-2024/,https://image.tmdb.org/t/p/w185/xDecnWwvtyvhQt1KOo2Hz3XLGGJ.jpg
Loteria! / Jackpot! (2024),"Kalifornia zmaga się z problemami ekonomicznymi, ustanowiono więc Wielką Loterię. Jedynym haczykiem jest to, że aby legalnie odebrać nagrodę, trzeba zabić zwycięzcę przed zachodem słońca.",Film,"Akcja, Komedia",2024,106,5.9,96,USA,https://cda-hd.cc/65414/loteria-jackpot-2024/,https://image.tmdb.org/t/p/w185/g1cvVrb9Rd4SdGwiwuMWCbz0sRg.jpg
